                                varietal                                | count 
 Rebula                                                                 |     1
 Kir-Yianni                                                             |     1
 Cortese                                                                |    68
 Sirah Cinsault Grenache                                                |     1
 Vidal Blanc                                                            |   195
 Stuben                                                                 |     1
 Gruner Veltliner                                                       |    37
 Chianti                                                                |     7
 Green Apple Cassis                                                     |     1
 Moscato                                                                |   166
 Malbec Cabernet Sauvignon                                              |     1
 Muscadet                                                               |     9
 Merlot Syrah Zinfandel Petite Sirah                                    |     1
 Merlot                                                                 |  1541
 Tokay                                                                  |     1
 Loureiro                                                               |     5
 Petite Verdot                                                          |     2
 Mouvedre                                                               |     1
 Johannisberg Riesling                                                  |     4
 Zibibbo                                                                |    10
 Blanc                                                                  |     1
 Tempranillo Grenache                                                   |     1
 Druella                                                                |     1
 Croatina                                                               |     3
 Albarossa                                                              |     5
 Frontenac Blanc                                                        |     2
 Pinot noir                                                             |     8
 Muscat Reale                                                           |     1
 Albarino                                                               |    94
 Cinsaut                                                                |     1
 Tinto De Toro (Tempranillo)                                            |     1
 Intreccio                                                              |     1
 Alicante Bouschet                                                      |    10
 Almond                                                                 |     1
 Muscat Gris                                                            |     1
 Picolit                                                                |    10
 Grillo                                                                 |    44
 Fiano                                                                  |    54
 Noiret                                                                 |    21
 Dolcetto                                                               |   150
 Marzemina                                                              |     1
 Southern Rhone Red Blend                                               |     2
 Torbato                                                                |     4
 Carlos & Ison Muscadines                                               |     1
 Lacrima                                                                |    15
 Sauvignon Blanc Assyrtiko                                              |     1
 Labrusca                                                               |     1
 Black Spanish                                                          |     2
 Chelois                                                                |     1
 Sauzao                                                                 |     1
 2                                                                      |     1
 Rousanne                                                               |     4
 Godello                                                                |     4
 Shiraz Cabernet Sauvignon                                              |     1
 Carmenere                                                              |     1
 Lugana                                                                 |     1
 Edelzwicker Blend                                                      |     2
 Zinfandel Syrah Petite Sirah                                           |     1
 Merlot Cabernet Aglianico                                              |     1
 Savignon Blanc                                                         |     1
 Frontenac red                                                          |     1
 Fredonia                                                               |     9
 Fume Blanc                                                             |     3
 Arctic Riesling                                                        |     2
 Schönburger                                                            |     4
 Petite Syrah                                                           |     5
 Petit Manseng & Gros Manseng                                           |     1
 Tinta Franchesca                                                       |     1
 Aglianico                                                              |   115
 Petit Verdot                                                           |   106
 Portuguese Red Blend                                                   |     1
 Carignan Syrah Grenache                                                |     1
 Cabernet Sauv                                                          |     2
 Vranac                                                                 |     1
 Wurtzer                                                                |     2
 Valpolicella                                                           |     9
 Vespaiolo                                                              |     8
 Freedonia                                                              |     1
 Garnacha                                                               |    36
 Sangiovese Blend                                                       |     2
 Viura                                                                  |     1
 Trepat                                                                 |     1
 Palomino Pedro Ximenez                                                 |     1
 Zinfindel                                                              |     1
 Torrontes                                                              |    33
 Corot noir                                                             |     1
 Red Bordeaux                                                           |     1
 Marsanne                                                               |    26
 Moscato Fior d'Arancio                                                 |     1
 Kekfrankos Kadarka                                                     |     1
 Sherry                                                                 |     2
 St. Laurent                                                            |     2
 Petite Milo                                                            |     1
 Zinfandel Carignane Petite Sirah                                       |     1
 Rose                                                                   |    14
 Pear                                                                   |     1
 Weissburgunder                                                         |     1
 White Muscat                                                           |     5
 Frontenac                                                              |   121
 Cabernet Sauvignon and Merlot                                          |     1
 Nosiola                                                                |     4
 Ribolla                                                                |     3
 Pink Catawba                                                           |     4
 Norton                                                                 |   108
 Rioja                                                                  |     7
 Barberra                                                               |     7
 Sauvignon                                                              |     1
 Chardonnay Sauvignon Blanc Viognier Pinot Blanc Muscat                 |     1
 Organic Nero D'Avola                                                   |     1
 Prosecco                                                               |    91
 Maceratino                                                             |     1
 Tinto Fino                                                             |     2
 SuperTuscan Blend                                                      |     1
 Muscato                                                                |    12
 Champagne                                                              |     5
 Swensen                                                                |     1
 Chardonnay Vidal                                                       |     1
 Pelaverga                                                              |     2
 Corvina Rondinella Molinara                                            |     1
 Riesling Spaltese                                                      |     1
 Cabernet Franc Merlot Petit Verdot Malbec                              |     1
 Muscadine                                                              |   209
 Macabeo                                                                |     1
 Nebbiolo                                                               |   578
 Black Troia                                                            |     1
 Spago Nero                                                             |     1
 Carignane                                                              |     7
 Verduzzo Friulano                                                      |     4
 Claret                                                                 |     1
 Syrah Grenache                                                         |     2
 Vinho Verde                                                            |     7
 Scuppernong                                                            |    15
 Tempranillo                                                            |   327
 Bellone                                                                |     1
 Noble                                                                  |    18
 Syrah                                                                  |  1319
 Malbec merlot                                                          |     1
 Malbec Bonarda Syrah                                                   |     1
 Saperavi                                                               |     2
 Spätburgunder                                                          |     1
 X                                                                      |     1
 Muscat of Alxeandria                                                   |     1
 Sauvignon Musque                                                       |     1
 Favorita                                                               |    10
 Spiced Mead                                                            |     1
 3                                                                      |     1
 Muscat of Alessandria (Zibibbo)                                        |     4
 Albion Baco                                                            |     1
 Merlot Cabernet Sauvignon Malbec                                       |     1
 Brunello                                                               |     1
 Limnio                                                                 |     1
 Marechal Foch                                                          |    85
 Touriga Franca                                                         |     2
 Red Bordeaux Blend                                                     |    95
 Nero D'avola                                                           |    13
 Encruzado                                                              |     5
 Rondo                                                                  |    23
 Lemberger                                                              |    25
 Pedro Ximenez                                                          |     2
 Veltliner                                                              |     1
 Petit Sirah                                                            |     2
 Picpoul                                                                |     6
